0	-0.00082263
0.005	-0.0012832
0.01	-0.0019219
0.015	-0.0018947
0.02	-0.0017845
0.025	-0.0016959
0.03	-0.0015993
0.035	-0.0014957
0.04	-0.0013909
0.045	-0.0012908
0.05	-0.0011974
0.055	-0.001106
0.06	-0.0010211
0.065	-0.00095186
0.07	-0.00090365
0.075	-0.00087122
0.08	-0.00085357
0.085	-0.00086374
0.09	-0.00090579
0.095	-0.00095895
0.1	-0.0010061
0.105	-0.0010412
0.11	-0.0010607
0.115	-0.0010552
0.12	-0.0010162
0.125	-0.00094964
0.13	-0.00087487
0.135	-0.00080603
0.14	-0.00074866
0.145	-0.00069616
0.15	-0.00064032
0.155	-0.00058838
0.16	-0.00055241
0.165	-0.00052899
0.17	-0.00050129
0.175	-0.00044921
0.18	-0.00037284
0.185	-0.000308
0.19	-0.00029805
0.195	-0.00035441
0.2	-0.00045786
0.205	-0.00058928
0.21	-0.00074792
0.215	-0.00091973
0.22	-0.0010601
0.225	-0.0011415
0.23	-0.0011668
0.235	-0.0011379
0.24	-0.0010642
0.245	-0.00094288
0.25	-0.00079043
0.255	-0.00068764
0.26	-0.00068402
0.265	-0.00073841
0.27	-0.00079399
0.275	-0.0008296
0.28	-0.00083914
0.285	-0.00081249
0.29	-0.00072645
0.295	-0.00055309
0.3	-0.00030853
0.305	-1.5073e-05
0.31	0.00033815
0.315	0.00073063
0.32	0.0010709
0.325	0.0012231
0.33	0.0011357
0.335	0.00088272
0.34	0.0005175
0.345	0.0001057
0.35	-0.00023643
0.355	-0.00046021
0.36	-0.00049114
0.365	-0.00021819
0.37	0.00024952
0.375	0.0006452
0.38	0.00083089
0.385	0.00081071
0.39	0.00062915
0.395	0.00033027
0.4	-3.4127e-05
0.405	-0.00026873
0.41	-0.00011954
0.415	0.00040855
0.42	0.0011157
0.425	0.0018672
0.43	0.0025248
0.435	0.0028682
0.44	0.0027972
0.445	0.002412
0.45	0.0018661
0.455	0.0012007
0.46	0.00034044
0.465	-0.0005216
0.47	-0.00093097
0.475	-0.00086021
0.48	-0.00068136
0.485	-0.00053714
0.49	-0.00038935
0.495	-0.00025733
0.5	-9.2012e-05
0.505	0.00023878
0.51	0.00077879
0.515	0.0013739
0.52	0.0018022
0.525	0.0019651
0.53	0.0018968
0.535	0.0018185
0.54	0.0020128
0.545	0.0024456
0.55	0.0027803
0.555	0.0027452
0.56	0.0023683
0.565	0.0018594
0.57	0.0012188
0.575	0.00015472
0.58	-0.0011414
0.585	-0.0017858
0.59	-0.0011255
0.595	0.00074932
0.6	0.0029294
0.605	0.004321
0.61	0.004505
0.615	0.003752
0.62	0.0025466
0.625	0.0012749
0.63	0.00043537
0.635	0.00041958
0.64	0.00090558
0.645	0.0011467
0.65	0.00076053
0.655	-0.00033238
0.66	-0.0022003
0.665	-0.0043967
0.67	-0.0059563
0.675	-0.0062612
0.68	-0.0052353
0.685	-0.002892
0.69	0.00046357
0.695	0.0037709
0.7	0.0058921
0.705	0.0067024
0.71	0.006913
0.715	0.007024
0.72	0.0065743
0.725	0.0047704
0.73	0.0016804
0.735	-0.0021323
0.74	-0.0061132
0.745	-0.0094383
0.75	-0.011243
0.755	-0.010716
0.76	-0.0076506
0.765	-0.0029031
0.77	0.0021381
0.775	0.0055643
0.78	0.0058583
0.785	0.0031719
0.79	-0.0014038
0.795	-0.0059069
0.8	-0.0066701
0.805	-0.0019194
0.81	0.0058615
0.815	0.01344
0.82	0.018232
0.825	0.018764
0.83	0.015405
0.835	0.0094028
0.84	0.0030122
0.845	-0.0014097
0.85	-0.0033824
0.855	-0.003913
0.86	-0.0039404
0.865	-0.003943
0.87	-0.004364
0.875	-0.0057085
0.88	-0.0077748
0.885	-0.008922
0.89	-0.0073649
0.895	-0.0030372
0.9	0.0028892
0.905	0.0089247
0.91	0.013041
0.915	0.014
0.92	0.012382
0.925	0.0082917
0.93	0.0016139
0.935	-0.0049579
0.94	-0.0075918
0.945	-0.0051006
0.95	0.00059571
0.955	0.0066607
0.96	0.010464
0.965	0.01055
0.97	0.0066993
0.975	-0.001272
0.98	-0.010822
0.985	-0.017331
0.99	-0.019367
0.995	-0.018445
1	-0.015739
1.005	-0.011448
1.01	-0.0052139
1.015	0.0024952
1.02	0.0096846
1.025	0.014936
1.03	0.017586
1.035	0.01761
1.04	0.016277
1.045	0.014844
1.05	0.013385
1.055	0.011033
1.06	0.0068796
1.065	0.00095436
1.07	-0.0059079
1.075	-0.012801
1.08	-0.018536
1.085	-0.021229
1.09	-0.019105
1.095	-0.013151
1.1	-0.0069973
1.105	-0.0035453
1.11	-0.0028794
1.115	-0.0026458
1.12	-0.00068697
1.125	0.0030203
1.13	0.0071888
1.135	0.011073
1.14	0.014498
1.145	0.016951
1.15	0.018192
1.155	0.01851
1.16	0.018135
1.165	0.016761
1.17	0.013457
1.175	0.0082266
1.18	0.003109
1.185	-0.0001352
1.19	-0.0020896
1.195	-0.0040079
1.2	-0.0071359
1.205	-0.012653
1.21	-0.020017
1.215	-0.026763
1.22	-0.029878
1.225	-0.028396
1.23	-0.023362
1.235	-0.015445
1.24	-0.0054346
1.245	0.0049139
1.25	0.013564
1.255	0.019007
1.26	0.020987
1.265	0.020711
1.27	0.01977
1.275	0.017263
1.28	0.011188
1.285	0.0029669
1.29	-0.0037854
1.295	-0.0079697
1.3	-0.012414
1.305	-0.01904
1.31	-0.025898
1.315	-0.029875
1.32	-0.029403
1.325	-0.024573
1.33	-0.015464
1.335	-0.0030361
1.34	0.0090244
1.345	0.016624
1.35	0.01974
1.355	0.021411
